GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
employee_management_system,com.kayles.employee_management_system.service.security,AuthenticationService,0,111,0,0,0,28,0,3,0,3
employee_management_system,com.kayles.employee_management_system.service.security,JwtService,0,110,1,3,0,26,1,11,0,10
employee_management_system,com.kayles.employee_management_system.service.impl,GroupServiceImpl,0,113,0,2,0,23,0,9,0,8
employee_management_system,com.kayles.employee_management_system.service.impl,PersonServiceImpl,188,479,1,5,21,113,22,23,21,21
employee_management_system,com.kayles.employee_management_system.service.impl,ImageServiceImpl,0,178,0,0,0,32,0,10,0,10
employee_management_system,com.kayles.employee_management_system.controller.impl,ImageControllerImpl,0,29,0,0,0,6,0,4,0,4
employee_management_system,com.kayles.employee_management_system.controller.impl,AdminControllerImpl,38,42,0,0,9,9,5,5,5,5
employee_management_system,com.kayles.employee_management_system.controller.impl,AuthenticationControllerImpl,0,12,0,0,0,2,0,2,0,2
employee_management_system,com.kayles.employee_management_system.controller.impl,GroupControllerImpl,0,46,0,0,0,10,0,5,0,5
employee_management_system,com.kayles.employee_management_system.controller.impl,PersonControllerImpl,0,96,0,0,0,25,0,11,0,11
